courseid,date,course,institution1,institution2,grade,url_course,myurl_course,myurl_result,certificate,my_rating,comment,summary
598,19980319,Microsoft Certified Systems Engineer Title,Microsoft,,,,,,Certificate,,,
599,19980319,Implementing and Supporting IIS 3.0 and Index Server 1.1,Microsoft,,,,,,Certificate,,,
600,19980305,Implementing and Supporting NT 4.0 Server in the Enterprise,Microsoft,,,,,,Certificate,,,
601,19980222,Implementing and Supporting NT 4.0 Server,Microsoft,,,,,,Certificate,,,
602,19980209, Microsoft Certified Professional Title,Microsoft,,,,,,Certificate,,,
603,19980208,Implementing and Supporting NT 4.0 Workstation,Microsoft,,,,,,Certificate,,,
604,1998,Rogue Wave C++ Library ,Rogue,Wave,,,,,Training only,,,
605,1998,Documentum,Oracle(Dcoumentum),,,,,,Training only,,,
606,1997,Microsoft Visual C++,Micosoft ,,,,,,Training & certificate,,,
607,19971228,Internetworking with Microsoft TCP/IP on Windows NT 4.0,Microsoft,,,,,,Certificate,,,
608,19971116,Networking Essentials,Microsoft,,,,,,Certificate,,,
609,19950224,CTP Orientation & Training program,Cambrige Technology Partners,,,,,,Training & certificate,,,Two week introduction course in Boston. Explaination of RAD(Rapid Application Development)&#44; client server and CTP exclusive delivery methodology
610,19941101,MBA - completed 90% of first year,University of Nice/CERAM/Stanford,,Not completed,,,,Not completed,,,
611,19931124,Master Computer Science - Business Administration,University of Amsterdam,,,,,,Certificate,,,I completed the following classes:<BR>Computer Science Intro<BR>Programming Intro<BR>Digital technologies<BR>Analytics<BR>Liniare Algebra<BR>Structure Computer Organization<BR>Data structures<BR>Graph Theory<BR>Logic<BR><BR>Algebra structures<BR>Business Systems<BR>Algorthm and complexity<BR>Automata Theory and formal langueages<BR>Computer Science and Society<BR>Introduction numarical programming<BR>Statistics<BR>Programming Languages<BR>Software Engineering<BR>System Development<BR><BR>Economics<BR>Business Decision Support Systems<BR>Advanced System Development<BR>Database Theory<BR>Information Systems<BR>Development of Information Systems<BR>Organisation of Information distribution<BR>Programming Envrionments<BR>Stratigic Management and Organisation<BR>Computer Graphics<BR>Digital Image processing<BR>
612,19880616,"VWO-Seconday School(Mathematics A+B, Economics I+II, Fysics, Chemistry, English)",Waterlant College,,65% average,,,,Certificate,,,
613,19860606,"HAVO-Secondary School (Mathematics, Fysics, Chemistry, German, English)",Waterlant College,,65% average,,,,Certificate,,,
